품목분류(HS),HSK품목명,HSK영문명,통제번호
2502000000,황화철광[배소(焙燒)하지 않은 것으로 한정한다],Unroasted iron pyrites.,
5513231000,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다],"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",
8804009020,로토슈트(rotochute)의 것,Of rotochutes,
1212299011,냉동한 것,Frozen,
701900000,기타,Other,
9503002110,방직용 섬유재료로 만든 것,Of textile materials,
1209919000,기타,Other,
8518210000,단일형 확성기[인클로저(enclosure)에 장착된 것으로 한정한다],"Single loudspeakers, mounted in their enclosures",
6304990000,그 밖의 방직용 섬유로 만든 것(메리야스 편물이나 뜨개질 편물은 제외한다),"Not knitted or crocheted, of other textile materials",
8703602000,중고차,Used,
0304480000,가오리와 홍어[라지대(Rajidae)과],Rays and skates (Rajidae),
7413000000,구리로 만든 연선ㆍ케이블ㆍ엮은 밴드와 이와 유사한 것(전기 절연한 것은 제외한다),"Stranded wire, cable, plaited bands and the like, of copper, not electrically insulated.",
5514230000,폴리에스테르 스테이플섬유의 그 밖의 직물,Other woven fabrics of polyester staple fibres,
0207271000,절단육,Cuts,
8455309000,기타,Other,
4203103070,스커트류,Skirts,
2705000000,석탄가스ㆍ수성(水性)가스ㆍ발생로(發生爐)가스와 이와 유사한 가스(석유가스와 그 밖의 가스 상태의 탄화수소는 제외한다),"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons.",
2516901000,가공하지 않은 것이나 거칠게 다듬은 것,Crude or roughly trimmed,
2826901000,인조치올라이트,Artificial chiolite,
2817001000,산화아연,Zinc oxide,
2915702090,기타,Other,
303670000,명태[테라그라 찰코그라마(Theragra chalcogramma)],Alaska Pollock (Theragra chalcogramma),
3006302000,진단용 시약(환자 투여용),Diagnostic reagents (designed to be administered to the patient),
5403420000,초산셀룰로오스의 것,Of cellulose acetate,
2910900000,기타,Other,
5201009050,섬유 길이가 28.5밀리미터 이상 34.9밀리미터 미만인 것,"Not less than 28.5 ㎜ (1-1/8 inch), but less than 34.9 ㎜ (1-3/8 inch) of fiber length",
8549399000,기타,Other,
8311909000,기타,Other,
2009902000,채소로 만든 것,Of vegetables,
0404902000,지방분이 전 중량의 100분의 1.5를 초과하는 것,"Of a fat content, by weight, exceeding 1.5 %",
8479892090,기타,Other,
5205141000,표백하지 않거나 머서(mercer)처리하지 않은 것,Unbleached or not mercerized,
8302491000,트렁크ㆍ슈트케이스나 이와 유사한 여행용구에 적합한 것,"Suitable for trunks, suitcases, or similar travel goods.",
6211391000,양모나 동물의 부드러운 털로 만든 것,Of wool or fine animal hair,
4113200000,돼지의 가죽,Of swine,
4011809010,림(rim)의 지름이 61센티미터 이하인 것,Having a rim size not exceeding 61 ㎝,
7212501000,니켈을 도금하거나 도포한 것,Plated or coated with nickel,
7320203000,철도차량 연계완충기용,For buffers on rolling stock couplings,
2007919000,기타,Other,
2926100000,아크릴로니트릴,Acrylonitrile,
5402620000,폴리에스테르의 것,Of polyesters,
8523512030,음성만을 기록한 것,Those recorded sound only,
8427909000,기타,Other,
5516419000,기타,Other,
7321190000,기타(고체연료용 기구를 포함한다),"Other, including appliances for solid fuel",
5514220000,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다],"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",
3702569000,기타,Other,
8449009000,부분품,Parts,
1605581000,밀폐용기에 넣은 것,In airtight containers,
1212212020,염장한 것,Salted,
0712902040,당근,Carrots,
2932201030,에틸쿠마린,Ethylcoumarins,
2811291000,일산화탄소,Carbon monoxide,
601104000,히아신스의 것,Of hyacinthus,
0303899010,보리멸,White sea smelt,
2932930000,피페로날,Piperonal,
4202121020,폴리우레탄으로 만든 것,Of polyurethane,
8708910000,방열기와 그 부분품,Radiators and parts thereof,
4806409000,기타,Other,
8704439090,기타,Other,
7208381000,인장강도가 490메가파스칼 이상인 것,Of a tensile strength of 490MPa or more,
303895020,부세[라리미크티스 크로세아(Larimichthys crocea)],Large yellow croaker (Larimichthys crocea),
3808921000,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),
4705000000,기계펄프공정과 화학펄프공정을 결합하여 얻은 목재펄프,Wood pulp obtained by a combination of mechanical and chemical pulping processes.,
207240000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled",
0709930000,호박류[쿠쿠르비타(Cucurbita)속],"Pumpkins, squash and gourds (Cucurbita spp.)",
9024801090,기타,Other,
4011201010,림의 지름이 49.53센티미터 미만인 것,For use on a rim measuring less than 49.53 ㎝ in diameter,
5208330000,3올이나 4올의 능직물(綾織物)[파사문직(破斜文織)의 것을 포함한다],"3-thread or 4-thread twill, including cross twill",
7317003000,제도용과 사무용 핀,Drawing or office working pins,
8704329020,탱크차,Tank lorries,
7006009000,기타,Other,
307111090,기타,Other,
6911102000,"공기, 대접과 접시",Bowls and dishes,
8207401000,태핑(tapping)용,For tapping,
8701911010,신차,New,
9403609010,문갑,Stationery chests,
2921459090,기타,Other,
4418910000,대나무로 만든 것,Of bamboo,
2204212000,흰 포도주,White wine,
9606210000,플라스틱으로 만든 것으로서 방직용 섬유재료로 피복되어 있지 않은 것,"Of plastics, not covered with textile material",
0710801000,양파,Onions,
8704239020,탱크차,Tank lorries,
9201100000,업라이트(upright) 피아노,Upright pianos,
5510111000,비스코스레이온(viscose rayon)의 것,Of viscose rayon,
8479200000,동물성이나 비휘발성인 식물성ㆍ미생물성 지방이나 기름의 추출용ㆍ조제용 기계류,Machinery for the extraction or preparation of animal or fixed vegetable or microbial fats or oils,
0511993010,소의 것,Of bovine,
2902300000,톨루엔,Toluene,
3824992900,기타,Other,
802320000,껍데기를 벗긴 것,Shelled,
1602319000,기타,Other,
0709594090,기타,Other,
6104499000,기타,Other,
9304001000,공기총,Air guns,
9202102000,첼로,Violoncellos,
8504405090,기타,Other,
2706001000,콜타르(coal tar),Coal tars,
8429521090,기타,Other,
3811210000,석유나 역청유(瀝靑油)를 함유하는 것,Containing petroleum oils or oils obtained from bituminous minerals,
3810101000,금속표면처리용 침지 조제품,Pickling preparations for metal surfaces,
0802620000,껍데기를 벗긴 것,Shelled,
6806204000,팽창퍼라이트,Expanded perlite,
3704001200,오프셋 복사용(엽서ㆍ그림엽서ㆍ카드ㆍ캘린더 제작용으로 한정한다),"For offset reproduction, producing postcard, illustrated postcard, cards and calendars",
3102210000,황산암모늄,Ammonium sulphate,
210910000,영장류의 것,Of primates,
2711141000,에틸렌,Ethylene,
1902192000,당면,Chinese vermicelli,
8479902000,제8479.89-9080호의 것,Of those specified in HSK 8479.89-9080,
1212217019,기타,Other,
0305712000,건조한 것,Dried,
1605101091,붉은대게살,Red snow crab meat,
0303899030,달고기,John dory,
8528719000,기타,Other,
3902200000,폴리이소부틸렌,Polyisobutylene,
4410112000,멜라민을 침투한 종이로 표면을 피복한 것,Surface-covered with melamine-impregnated paper,
2932209091,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),
0703201000,껍질을 깐 것,Peeled,
5111192000,동물의 부드러운 털의 실로 만든 것,Of fine animal hair,
5909000000,방직용 섬유로 만든 호스와 이와 유사한 관 모양의 물품(다른 재료를 내장ㆍ보강한 것인지 또는 부속품이 있는지에 상관없다),"Textile hosepiping and similar textile tubing, with or without lining, armour or accessories of other materials.",
0804503000,망고스틴(mangosteen),Mangosteens,
0713331000,종자용,For seed,
0712391040,느타리버섯,Oyster mushrooms,
3702411000,영화필름,Cinematographic film,
8516900000,부분품,Parts,
0709599000,기타,Other,
6704199000,기타,Other,
1207600000,잇꽃[카르타무스 틴크토리우스(Carthamus tinctorius)] 종자,Safflower (Carthamus tinctorius) seeds,
2933193000,피라조론과 그 유도체,Pyrazolone and its derivatives,
207604210,간,Liver,
5403419000,기타,Other,
4012909030,타이어트레드,Tyre treads,
1001992010,메슬린(meslin),Meslin,
709593000,영지버섯,Ling chiu mushrooms,
8805291010,군용ㆍ경찰용,For military and police use,
8476909000,기타,Other,
8203409000,기타,Other,
2915702010,스테아르산,Stearic acid,
1212215030,냉동한 것,Frozen,
